data
"25.60,0.00"
"25.60,1.00"
"26.03,2.00"
"25.14,3.00"
"25.60,4.00"
"25.98,5.00"
"25.98,6.00"
"25.98,7.00"
"25.50,8.00"
"25.98,9.00"
"25.98,10.00"
"25.55,11.00"
"26.45,12.00"
"26.14,13.00"
"26.14,14.00"
"26.15,15.00"
"26.62,16.00"
"27.05,17.00"
"26.62,18.00"
"26.86,19.00"
"26.99,20.00"
"26.99,21.00"
"27.47,22.00"
"27.42,23.00"
"28.37,24.00"
"29.79,25.00"
"29.69,26.00"
"36.56,27.00"
"36.46,28.00"
"36.41,29.00"
"36.58,30.00"
"35.69,31.00"
"40.78,32.00"
"38.31,33.00"
"38.30,34.00"
"37.73,35.00"
"38.31,36.00"
"38.54,37.00"
"38.19,38.00"
"39.55,39.00"
"55.41,40.00"
"56.63,41.00"
"57.92,42.00"
"55.75,43.00"
"39.20,44.00"
"38.33,45.00"
"38.98,46.00"
"37.88,47.00"
"36.75,48.00"
"37.23,49.00"
"57.06,50.00"
"56.59,51.00"
"57.06,52.00"
"38.38,53.00"
"38.55,54.00"
"56.65,55.00"
"57.93,56.00"
"39.51,57.00"
"57.42,58.00"
"56.39,59.00"
"57.28,60.00"
"58.38,61.00"
"57.54,62.00"
"54.97,63.00"
"38.84,64.00"
"55.81,65.00"
"39.02,66.00"
"40.58,67.00"
"54.45,68.00"
"54.18,69.00"
"54.35,70.00"
"52.87,71.00"
"52.43,72.00"
"54.14,73.00"
"53.34,74.00"
"52.80,75.00"
"55.34,76.00"
"55.03,77.00"
"53.35,78.00"
"51.48,79.00"
"51.33,80.00"
"52.43,81.00"
"51.91,82.00"
"51.59,83.00"
"52.03,84.00"
"51.42,85.00"
"52.15,86.00"
"52.86,87.00"
"51.60,88.00"
"51.55,89.00"
"51.14,90.00"
"169.84,91.00"
"52.58,92.00"
"52.63,93.00"
"52.46,94.00"
"169.87,95.00"
"168.84,96.00"
"53.30,97.00"
"104.55,98.00"
"104.63,99.00"
"106.04,100.00"
"105.30,101.00"
"84.29,102.00"
"85.24,103.00"
"84.81,104.00"
"84.74,105.00"
"84.19,106.00"
"84.45,107.00"
"82.82,108.00"
"83.40,109.00"
"83.26,110.00"
"83.66,111.00"
"82.82,112.00"
"82.77,113.00"
"83.67,114.00"
"83.90,115.00"
"82.59,116.00"
"82.30,117.00"
"82.51,118.00"
"81.55,119.00"
"84.26,120.00"
"103.89,121.00"
"86.44,122.00"
"103.43,123.00"
"82.70,124.00"
"83.42,125.00"
"83.06,126.00"
"83.07,127.00"
"82.80,128.00"
"81.87,129.00"
"82.66,130.00"
"84.58,131.00"
"83.13,132.00"
"83.86,133.00"
"83.91,134.00"
"83.47,135.00"
"83.64,136.00"
"83.02,137.00"
"84.50,138.00"
"87.52,139.00"
"88.03,140.00"
"85.60,141.00"
"84.93,142.00"
"84.12,143.00"
"84.62,144.00"
"521.91,145.00"
"84.28,146.00"
"84.21,147.00"
"85.10,148.00"
"85.00,149.00"
"521.48,150.00"
"84.45,151.00"
"84.88,152.00"
"1197.69,153.00"
"1197.14,154.00"
"1196.97,155.00"
"400.68,156.00"
"1196.85,157.00"
"1197.09,158.00"
"400.45,159.00"
"400.37,160.00"
"400.23,161.00"
"399.32,162.00"
"398.87,163.00"
"399.29,164.00"
"399.18,165.00"
"399.49,166.00"
"398.87,167.00"
"398.89,168.00"
"399.32,169.00"
"398.86,170.00"
"398.34,171.00"
"398.45,172.00"
"398.45,173.00"
"398.39,174.00"
"398.45,175.00"
"398.45,176.00"
"397.95,177.00"
"398.41,178.00"
"398.84,179.00"
"398.43,180.00"
