data
0=39cm 1=49cm
0=40cm 1=49cm
0=40cm 1=46cm
0=41cm 1=45cm
0=42cm 1=45cm
0=42cm 1=44cm
0=43cm 1=44cm
0=43cm 1=43cm
0=44cm 1=43cm
0=44cm 1=42cm
0=44cm 1=43cm
0=45cm 1=42cm
0=45cm 1=42cm
0=45cm 1=41cm
0=46cm 1=41cm
0=46cm 1=40cm
0=46cm 1=40cm
0=45cm 1=41cm
0=45cm 1=43cm
0=45cm 1=43cm
0=45cm 1=42cm
0=46cm 1=40cm
0=46cm 1=40cm
0=46cm 1=39cm
0=47cm 1=39cm
0=47cm 1=40cm
0=47cm 1=39cm
0=47cm 1=40cm
0=47cm 1=39cm
0=47cm 1=38cm
0=47cm 1=40cm
0=47cm 1=39cm
0=48cm 1=40cm
0=48cm 1=39cm
0=48cm 1=38cm
0=48cm 1=37cm
0=48cm 1=37cm
0=48cm 1=38cm
0=47cm 1=38cm
0=47cm 1=40cm
0=46cm 1=40cm
0=46cm 1=41cm
0=45cm 1=42cm
0=44cm 1=44cm
0=44cm 1=43cm
0=43cm 1=45cm
0=42cm 1=45cm
0=42cm 1=47cm
0=42cm 1=46cm
0=42cm 1=47cm
0=41cm 1=47cm
0=40cm 1=48cm
0=39cm 1=49cm
0=39cm 1=48cm
0=39cm 1=48cm
0=39cm 1=48cm
0=39cm 1=47cm
0=40cm 1=47cm
0=40cm 1=47cm
0=41cm 1=45cm
0=42cm 1=44cm
0=43cm 1=44cm
0=44cm 1=43cm
0=44cm 1=43cm
0=45cm 1=41cm
0=46cm 1=40cm
0=46cm 1=40cm
0=46cm 1=41cm
0=47cm 1=41cm
0=46cm 1=40cm
0=46cm 1=40cm
0=46cm 1=41cm
0=45cm 1=43cm
0=45cm 1=42cm
0=44cm 1=42cm
0=44cm 1=44cm
0=44cm 1=45cm
0=43cm 1=44cm
0=44cm 1=45cm
0=44cm 1=44cm
0=44cm 1=44cm
0=43cm 1=44cm
0=44cm 1=45cm
0=43cm 1=49cm
0=45cm 1=42cm
0=44cm 1=42cm
0=44cm 1=44cm
0=44cm 1=45cm
0=43cm 1=44cm
0=44cm 1=45cm
0=44cm 1=44cm
0=44cm 1=44cm
0=43cm 1=44cm
0=44cm 1=45cm
0=43cm 1=49cm
0=43cm 1=47cm
0=42cm 1=47cm
0=43cm 1=46cm
0=43cm 1=46cm
0=43cm 1=45cm
0=44cm 1=47cm
0=43cm 1=46cm
0=43cm 1=47cm
0=43cm 1=48cm
0=43cm 1=47cm
0=43cm 1=45cm
0=43cm 1=45cm
0=43cm 1=46cm
0=43cm 1=45cm
0=43cm 1=45cm
0=42cm 1=46cm
0=43cm 1=46cm
0=43cm 1=46cm
0=42cm 1=46cm
